,precision,recall,f1-score,support
Gray leaf spot,0.9411764705882353,0.9320388349514563,0.9365853658536586,103.0
Common rust,1.0,1.0,1.0,238.0
Northern leaf blight,0.955,0.9695431472081218,0.9622166246851386,197.0
Healthy,1.0,0.9913793103448276,0.9956709956709957,232.0
accuracy,0.9805194805194806,0.9805194805194806,0.9805194805194806,0.9805194805194806
macro avg,0.9740441176470588,0.9732403231261015,0.9736182465524481,770.0
weighted avg,0.980618411000764,0.9805194805194806,0.9805462840799611,770.0
